spot_at_expiry_rn,strategy_pnl_rn,spot_at_expiry_rw,strategy_pnl_rw
718.3932466327036,-1284.0,748.6795324363918,483.953243639181
707.8812223015082,-1284.0,738.8245932946805,-501.54067053194603
757.6309698343257,1379.0969834325697,789.4792813026166,1615.9999999999995
739.6368337149551,-420.316628504494,771.6062358761901,1616.0
766.7963994347468,1616.0,723.2830686308628,-1284.0
759.0687396035974,1522.873960359735,754.632676261958,1079.2676261957954
769.2598401467444,1616.0,783.2116359399962,1615.9999999999995
801.2210326439275,1616.0,717.4385662462141,-1284.0
665.8781120197021,-1284.0,831.7298155113757,1616.0
759.5567042945063,1571.670429450629,733.8552529882776,-998.4747011722416
759.9733726771879,1613.3372677187854,707.165358151593,-1284.0
699.8365555275368,-1284.0,745.8338707786094,199.38707786093664
765.9180619057544,1616.0,760.3837347695967,1616.0
698.6821081726134,-1284.0,735.543604885953,-829.6395114047041
741.7396996239172,-210.0300376082796,730.77828631335,-1284.0
664.0350711637956,-1284.0,763.2057821683301,1616.0
751.1299397262723,728.9939726272255,718.5114020228507,-1284.0
713.3886005926195,-1284.0,758.2574706070969,1441.7470607096934
677.9996377086894,-1284.0,726.5188391269702,-1284.0
723.8463027378679,-1284.0,805.6135422674835,1616.0
718.2322987932826,-1284.0,827.4948342101089,1616.0
698.9505261193045,-1284.0,713.8856615487982,-1284.0
719.1217795538594,-1284.0,738.2146142847765,-562.538571522347
772.5603042799984,1616.0000000000005,718.4830128495497,-1284.0
726.1045154965776,-1284.0,803.4530162421312,1616.0
820.2508904520267,1616.0,754.7950298156608,1095.5029815660769
754.3395622442728,1049.956224427277,759.7509226475859,1591.0922647585867
810.4866852660296,1616.0,815.8694510598353,1616.0
762.9054039426027,1616.0,747.973223864494,413.32238644940026
725.7281894936484,-1284.0,683.1710381078756,-1284.0
692.4327522673389,-1284.0,856.3628914549323,1616.0
809.2788482138589,1616.0,720.8041215075887,-1284.0
712.4509700217859,-1284.0,704.1365772374262,-1284.0
698.6444849000765,-1284.0,747.7515552016522,391.1555201652195
723.9373423737258,-1284.0,773.0185356955787,1616.0
729.6147527111528,-1284.0,791.0982170491574,1616.0000000000005
713.7607526860851,-1284.0,828.3448568346157,1616.0
657.8027203408344,-1284.0,688.7039278766371,-1284.0
786.9948796976297,1615.9999999999995,722.2162344517777,-1284.0
741.6399101790737,-220.0089820926305,673.3461041598624,-1284.0
792.4232413102552,1616.0,720.3238651537309,-1284.0
713.9450184471732,-1284.0,851.4717063059103,1616.0
764.2924739953539,1616.0,753.0652867615303,922.5286761530274
726.3629218879596,-1284.0,771.5134525956877,1616.0
700.7250804353628,-1284.0,740.0238824349234,-381.61175650766063
682.2254766129982,-1284.0,718.1759106013723,-1284.0
708.9969282373415,-1284.0,767.8705824155256,1616.0
735.9983431011457,-784.1656898854321,733.4117911067367,-1042.82088932633
765.5507907717749,1616.0,747.5214282645105,368.14282645105186
727.1572678432141,-1284.0,792.8835017671507,1616.0000000000005
779.774475314709,1616.0,736.5551168221233,-728.4883177876704
747.5868011458464,374.680114584638,775.3684671351589,1616.0
752.9882437014898,914.824370148975,802.6624210402802,1616.0
748.2632652667327,442.3265266732674,715.9297351170599,-1284.0
773.7928383705745,1615.9999999999995,757.7935189984636,1395.3518998463583
770.3352002662361,1616.0,788.9425566181142,1616.0
721.9109509846032,-1284.0,801.8408903818965,1616.0
727.6122489010008,-1284.0,724.3802626889358,-1284.0
704.9985472030914,-1284.0,770.576496919095,1616.0
726.0721368180762,-1284.0,748.6964297555393,485.64297555392704
771.8446865279776,1616.0,767.6462217946738,1616.0
704.5422357978282,-1284.0,793.2745069463308,1616.0
746.9747051836174,313.47051836174023,810.8239432518521,1616.0
799.4889308178915,1616.0,755.1563028803928,1131.6302880392786
763.1399191665997,1616.0,812.3500399867904,1616.0
718.5347115992377,-1284.0,704.8434177016368,-1284.0
754.1223264615058,1028.232646150585,760.1642630962481,1616.0
647.0571781580971,-1284.0,800.3028360884032,1616.0
764.7215749327682,1616.0,729.0358023244313,-1284.0
