contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiry
SPY260529C00612000,2026-03-04 19:56:47+00:00,612.0,85.2,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00613000,2026-04-17 17:00:08+00:00,613.0,103.25,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00614000,2026-02-02 20:49:20+00:00,614.0,94.34,62.29,63.63,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00615000,2026-05-07 19:16:38+00:00,615.0,118.12,0.0,0.0,0.0,0.0,4.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00616000,2026-02-05 15:28:59+00:00,616.0,77.19,60.68,61.99,0.0,0.0,1.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00617000,2026-04-14 16:16:12+00:00,617.0,81.36,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00618000,2026-04-24 15:45:06+00:00,618.0,99.37,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00619000,2026-03-26 20:11:42+00:00,619.0,45.68,0.0,0.0,0.0,0.0,4.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00620000,2026-05-11 14:00:10+00:00,620.0,120.24,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00621000,2026-04-14 16:09:22+00:00,621.0,77.49,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00622000,2026-04-23 19:50:04+00:00,622.0,89.32,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00623000,2026-04-10 16:11:08+00:00,623.0,64.28,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00624000,2026-05-11 17:09:41+00:00,624.0,117.08,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00625000,2026-05-01 14:28:49+00:00,625.0,101.91,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00626000,2026-04-15 14:25:19+00:00,626.0,75.93,0.0,0.0,0.0,0.0,7.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00627000,2026-05-07 16:56:42+00:00,627.0,107.7,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00628000,2026-04-30 19:31:01+00:00,628.0,93.95,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00629000,2026-05-12 15:15:19+00:00,629.0,105.7,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00630000,2026-05-12 16:36:40+00:00,630.0,104.26,0.0,0.0,0.0,0.0,20.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00631000,2026-04-08 13:47:49+00:00,631.0,54.27,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00632000,2026-05-07 16:58:57+00:00,632.0,102.1,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00633000,2026-05-12 18:13:52+00:00,633.0,103.44,0.0,0.0,0.0,0.0,10.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00634000,2026-05-11 13:41:03+00:00,634.0,105.34,0.0,0.0,0.0,0.0,4.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00635000,2026-05-12 18:15:17+00:00,635.0,101.67,0.0,0.0,0.0,0.0,14.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00636000,2026-05-11 13:40:13+00:00,636.0,103.21,0.0,0.0,0.0,0.0,3.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00637000,2026-05-12 13:47:55+00:00,637.0,100.64,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00638000,2026-05-12 19:32:58+00:00,638.0,101.15,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00639000,2026-04-14 19:31:42+00:00,639.0,61.94,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00640000,2026-05-12 18:34:21+00:00,640.0,97.7,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00641000,2026-05-08 16:14:02+00:00,641.0,98.06,0.0,0.0,0.0,0.0,11.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00642000,2026-05-05 19:55:49+00:00,642.0,83.9,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00643000,2026-04-28 13:30:21+00:00,643.0,72.07,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00644000,2026-05-07 17:07:26+00:00,644.0,90.52,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00645000,2026-05-12 16:16:54+00:00,645.0,90.01,0.0,0.0,0.0,0.0,5.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
