Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2023-07-18,450.5,454.8599853515625,450.04998779296875,454.19000244140625,438.6932678222656,80668200,0.0,0.0,0.0
2023-07-19,455.010009765625,456.42999267578125,454.1099853515625,455.20001220703125,439.6688232421875,65891700,0.0,0.0,0.0
2023-07-20,454.1700134277344,455.1000061035156,451.44000244140625,452.17999267578125,436.7518310546875,70591600,0.0,0.0,0.0
2023-07-21,453.9599914550781,454.1700134277344,452.1700134277344,452.17999267578125,436.7518310546875,71275600,0.0,0.0,0.0
2023-07-24,453.3699951171875,455.0400085449219,452.29998779296875,454.20001220703125,438.7030029296875,54023400,0.0,0.0,0.0
2023-07-25,453.9200134277344,456.739990234375,453.8699951171875,455.44000244140625,439.900634765625,55191200,0.0,0.0,0.0
2023-07-26,454.4700012207031,456.989990234375,453.3800048828125,455.510009765625,439.96826171875,71052900,0.0,0.0,0.0
2023-07-27,459.0199890136719,459.44000244140625,451.54998779296875,452.489990234375,437.05133056640625,92194400,0.0,0.0,0.0
2023-07-28,455.8800048828125,457.7799987792969,452.489990234375,456.9200134277344,441.33013916015625,80011800,0.0,0.0,0.0
2023-07-31,457.4100036621094,458.1600036621094,456.04998779296875,457.7900085449219,442.17047119140625,62040400,0.0,0.0,0.0
2023-08-01,456.2699890136719,457.25,455.489990234375,456.4800109863281,440.9051513671875,55291500,0.0,0.0,0.0
2023-08-02,453.25,453.5199890136719,449.3500061035156,450.1300048828125,434.7718505859375,93933400,0.0,0.0,0.0
2023-08-03,448.0400085449219,450.7900085449219,447.3699951171875,448.8399963378906,433.52581787109375,64276100,0.0,0.0,0.0
2023-08-04,450.7200012207031,452.8999938964844,446.2699890136719,446.80999755859375,431.5650634765625,100128900,0.0,0.0,0.0
2023-08-07,448.7099914550781,450.8699951171875,447.989990234375,450.7099914550781,435.33203125,58357500,0.0,0.0,0.0
2023-08-08,448.0799865722656,450.70001220703125,445.2699890136719,448.75,433.43890380859375,71361300,0.0,0.0,0.0
2023-08-09,449.0299987792969,449.20001220703125,444.9599914550781,445.75,430.541259765625,78789600,0.0,0.0,0.0
2023-08-10,448.19000244140625,451.70001220703125,444.70001220703125,445.9100036621094,430.6957702636719,93005500,0.0,0.0,0.0
2023-08-11,443.9700012207031,446.70001220703125,443.3500061035156,445.6499938964844,430.44464111328125,68690900,0.0,0.0,0.0
2023-08-14,444.70001220703125,448.1099853515625,444.3800048828125,448.1099853515625,432.82073974609375,47867400,0.0,0.0,0.0
2023-08-15,446.2699890136719,446.6400146484375,442.29998779296875,442.8900146484375,427.7788391113281,75707500,0.0,0.0,0.0
2023-08-16,442.4599914550781,444.17999267578125,439.5299987792969,439.6400146484375,424.63970947265625,80107200,0.0,0.0,0.0
2023-08-17,441.1600036621094,441.42999267578125,435.75,436.2900085449219,421.40399169921875,95711300,0.0,0.0,0.0
2023-08-18,433.3699951171875,437.57000732421875,433.010009765625,436.5,421.6069030761719,98852000,0.0,0.0,0.0
2023-08-21,437.54998779296875,440.1099853515625,435.32000732421875,439.3399963378906,424.3500061035156,68719000,0.0,0.0,0.0
2023-08-22,441.17999267578125,441.17999267578125,437.57000732421875,438.1499938964844,423.2005615234375,64994200,0.0,0.0,0.0
2023-08-23,439.25,443.6700134277344,439.1000061035156,443.0299987792969,427.9140625,68441000,0.0,0.0,0.0
2023-08-24,444.69000244140625,445.2200012207031,436.8599853515625,436.8900146484375,421.9835205078125,88517300,0.0,0.0,0.0
2023-08-25,438.67999267578125,441.29998779296875,435.0,439.9700012207031,424.9584655761719,102325100,0.0,0.0,0.0
