Date,spot,position_open,mtm,cash,equity,rv20,delta_exposure,gamma_exposure,vega_exposure,theta_exposure
2024-10-07,567.7999877929688,False,0.0,99757.50671688085,99757.50671688085,0.1009993002770206,0.0,0.0,0.0,0.0
2024-10-08,573.1699829101562,False,0.0,99757.50671688085,99757.50671688085,0.10416544897286058,0.0,0.0,0.0,0.0
2024-10-09,577.1400146484375,False,0.0,99757.50671688085,99757.50671688085,0.10140960076999406,0.0,0.0,0.0,0.0
2024-10-10,576.1300048828125,False,0.0,99757.50671688085,99757.50671688085,0.0993144133778771,0.0,0.0,0.0,0.0
2024-10-11,579.5800170898438,True,0.0,99757.50671688085,99757.50671688085,0.09972727876224106,0.0,0.0,0.0,0.0
2024-10-14,584.3200073242188,True,-17.12693864216419,99757.50671688085,99740.37977823868,0.10244387998565076,-13.363514307745467,-3.2183341110292774,-91.45484721930703,19.90442461102266
2024-10-15,579.780029296875,True,-9.551108439070788,99757.50671688085,99747.95560844177,0.10799326279193898,1.3830696444792345,-3.1900165659865447,-90.11584284320455,20.35482862538717
2024-10-16,582.2999877929688,True,4.605114305712732,99757.50671688085,99762.11183118656,0.10712684918665956,-6.439631616145575,-3.225520829617311,-87.93243922986831,21.05526203030399
2024-10-17,582.3499755859375,True,166.51422251425885,99757.50671688085,99924.02093939511,0.09114380064567036,-5.922270539393665,-3.3776103996399325,-75.03328932965367,15.973094101372936
2024-10-18,584.5900268554688,True,171.74471774358864,99757.50671688085,99929.25143462443,0.0890105737771471,-13.205989405307456,-3.4291702593942675,-71.86265115657318,16.071037270684638
2024-10-21,583.6300048828125,False,0.0,99981.99922092806,99981.99922092806,0.08955653632408096,0.0,0.0,0.0,0.0
2024-10-22,583.3200073242188,False,0.0,99981.99922092806,99981.99922092806,0.08953787666508063,0.0,0.0,0.0,0.0
2024-10-23,577.989990234375,False,0.0,99981.99922092806,99981.99922092806,0.09607410132163131,0.0,0.0,0.0,0.0
2024-10-24,579.239990234375,False,0.0,99981.99922092806,99981.99922092806,0.0954742896397459,0.0,0.0,0.0,0.0
2024-10-25,579.0399780273438,True,0.0,99981.99922092806,99981.99922092806,0.09523912304957102,0.0,0.0,0.0,0.0
2024-10-28,580.8300170898438,True,45.89528732674637,99981.99922092806,100027.8945082548,0.09486883317051986,-4.222035303445981,-3.4269960697645074,-88.73475746476474,17.320718698897167
